node_id,node_name,lamp_status,relay_status,energy,power,current,rsl_out,rsl_in,disconnectivity,connectivity,availability,rpl_rank,ipv6,temperature,relative_humidity,ambient_light
1,wn03-2329-0001,ON,OFF,339621.0,609.7,2.61,-54,-63,0-04:07:11,0-09:16:15,99.6,256,6695,30.25,49.3,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,339725.0,613.1,2.66,-53,-60,0-04:07:11,0-09:26:26,99.6,256,6695,30.3,49.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,339829.0,614.3,2.55,-53,-61,0-04:07:11,0-09:36:37,99.6,256,6695,30.24,49.5,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,339934.0,613.9,2.54,-53,-62,0-04:07:11,0-09:46:48,99.6,256,6695,30.08,50.3,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340038.0,614.6,2.53,-53,-61,0-04:07:11,0-09:57:00,99.6,256,6695,29.6,50.7,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340142.0,613.6,2.59,-53,-61,0-04:07:11,0-10:07:11,99.6,256,6695,29.73,51.3,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340247.0,609.9,2.59,-53,-61,0-04:07:11,0-10:17:22,99.6,256,6695,29.9,50.7,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340351.0,610.8,2.54,-53,-61,0-04:07:11,0-10:27:33,99.6,256,6695,29.96,50.7,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340456.0,610.5,2.54,-52,-63,0-04:07:11,0-10:37:45,99.6,256,6695,29.49,51.8,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340560.0,611.1,2.54,-52,-63,0-04:07:11,0-10:47:56,99.6,256,6695,29.6,51.9,0.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340664.0,613.4,2.59,-53,-63,0-04:07:11,0-10:58:08,99.6,272,6695,29.53,52.0,1.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340769.0,613.1,2.59,-55,-65,0-04:07:11,0-11:08:19,99.6,270,6695,29.06,53.1,8.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340873.0,612.8,2.6,-56,-66,0-04:07:11,0-11:18:30,99.6,270,6695,29.25,52.9,23.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,340977.0,612.8,2.63,-55,-65,0-04:07:11,0-11:28:41,99.6,270,6695,29.22,53.6,41.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,341081.0,612.3,2.66,-54,-62,0-04:07:11,0-11:38:52,99.6,268,6695,29.78,51.8,62.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
1,wn03-2329-0001,ON,OFF,341186.0,611.8,2.7,-54,-65,0-04:07:11,0-11:49:04,99.6,268,6695,29.83,52.4,82.0
2,wn03-2329-0002,NA,NA,0.0,0.0,0.0,0,0,NA,NA,NA,0,NA,0.0,0.0,0.0
